t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.059000000000000045,0.5141570552417475,0.3297787166428791,0.2537374265260574,-4.58E-15,-0.5886,1.2745799126282884e-14,1.5693564985558298e-12,-9.81,2.4787110392482796e-12,0,0,1,1.2390532859548784e-16,9.130391969740969e-16,1.6772927628731955e-15,1.7870190782106994e-11,3.864517008198699e-12,-1.84E-11,-2.02E-11
0.060000000000000046,0.5141570552417475,0.3291803066428791,0.2537374265260574,3.964744748272556e-14,-0.59841,-5.41E-16,4.422714943358643e-11,-9.81,-1.33E-11,0,0,1,1.341563230995713e-16,1.2289743846965977e-15,1.795300309119533e-15,-5.33E-11,2.7694692844418973e-11,-7.23E-11,-2.09E-11
0.061,0.5141570552417475,0.3285720866428793,0.2537374265260574,5.424432328082656e-14,-0.60822,-8.34E-15,1.4596875798101e-11,-9.81,-7.80E-12,0,0,1,1.2412991370882212e-16,1.1874965300421807e-15,1.656436468980497e-15,8.977130181297422e-11,-2.07E-11,5.097500476759638e-11,3.3622609819670293e-12
0.062,0.5141570552417475,0.32795405664287924,0.2537374265260574,2.844441805358334e-14,-0.61803,2.2211950960116716e-14,-2.58E-11,-9.81,3.055478701544073e-11,0,0,1,1.0770965043552665e-16,1.312262588422294e-15,1.687856856290733e-15,-3.89E-11,-1.66E-11,-1.11E-11,-1.19E-11
0.063,0.5141570552417475,0.32732621664287914,0.2537374265260574,3.3386014020473587e-15,-0.62784,-1.20E-14,-2.51E-11,-9.81,-3.42E-11,0,0,1,1.0863248337549851e-16,1.2684574007271942e-15,1.7326740282265013e-15,-1.93E-11,4.529401193480871e-12,-5.85E-12,3.205139842639925e-11
0.064,0.5141570552417474,0.32668856664287915,0.25373742652605746,-6.44E-14,-0.63765,3.6109195925777115e-14,-6.77E-11,-9.81,4.811455985917932e-11,0,0,1,9.627213086653794e-17,1.213239898732653e-15,1.7344730318766514e-15,-7.62E-11,1.0092264410008324e-11,5.476733029256825e-11,7.951773345274653e-11
0.065,0.5141570552417475,0.32604110664287916,0.2537374265260574,7.079544367733855e-14,-0.64746,-3.56E-14,1.351663859163008e-10,-9.81,-7.17E-11,0,0,1,7.596373840815411e-17,1.2280526946567836e-15,1.7620498231876993e-15,7.95378371707174e-11,4.085119207619525e-12,-5.25E-11,-1.04E-10
0.066,0.5141570552417475,0.3253838366428791,0.25373742652605746,-1.45E-15,-0.65727,3.457706011615634e-14,-7.23E-11,-9.81,7.018060041281952e-11,0,0,1,1.2328247358381262e-16,1.1776070161167284e-15,1.7351888081760087e-15,8.843995348236586e-11,1.2646544374097705e-11,2.3943667898584863e-11,3.0674346225471916e-12
0.067,0.5141570552417475,0.3247167566428791,0.2537374265260575,-1.45E-15,-0.66708,3.457651463583542e-14,6.408917946043095e-16,-9.81,-5.45E-16,0,0,1,1.7060204905372696e-16,1.1271645562173168e-15,1.7083289987163861e-15,1.0485685293873305e-18,1.683389360147058e-17,-9.49E-17,5.923919457190019e-17
0.068,0.5141570552417475,0.32403986664287915,0.25373742652605746,1.8696329087109372e-14,-0.67689,-4.89E-14,2.015065285928244e-11,-9.81,-8.35E-11,0,0,1,1.2195452421658072e-16,1.2617935239800288e-15,1.7080001142230816e-15,-2.13E-10,-3.59E-11,1.7553096851911507e-11,3.670651815537997e-11
0.069,0.5141570552417475,0.3233531666428791,0.2537374265260575,-5.49E-15,-0.6867,3.002892636428364e-14,-2.42E-11,-9.81,7.890281194816067e-11,0,0,1,1.1545826755915954e-16,1.2301725619619809e-15,1.7154012022782985e-15,1.0884175174429176e-10,3.80689237283392e-11,-4.79E-11,-2.12E-11
0.07,0.5141570552417475,0.3226566566428791,0.25373742652605746,-4.80E-15,-0.69651,-7.22E-14,6.846486534612496e-13,-9.81,-1.02E-10,0,0,1,1.0337682163971984e-16,1.1871045712994212e-15,1.7192530474257675e-15,3.058295850805934e-11,1.288003376539456e-11,6.574101241774879e-12,-1.53E-11
0.071,0.5141570552417476,0.3219503366428791,0.2537374265260574,7.459819872826118e-14,-0.70632,-5.93E-14,7.94024386144313e-11,-9.81,1.294130765926689e-11,0,0,1,1.6382896447486607e-16,8.558843052136757e-16,1.9788934275152533e-15,4.2084040580655446e-12,-5.11E-11,1.846961299796535e-11,2.8481249340505537e-11
0.072,0.5141570552417475,0.3212342066428791,0.2537374265260574,-9.46E-14,-0.71613,1.3414851090231583e-14,-1.69E-10,-9.81,7.267730163492857e-11,0,0,1,1.0580131311633069e-16,1.269360103444659e-15,1.836586866234352e-15,4.661169623780887e-12,4.174010187226279e-11,1.5530922625297458e-11,4.037129235257261e-11
0.073,0.5141570552417475,0.3205082666428791,0.25373742652605746,-1.08E-14,-0.72594,4.012945453363152e-14,8.380585442980766e-11,-9.81,2.671460344339994e-11,0,0,1,1.2611598946947366e-16,1.2438042613372441e-15,1.7672308763241896e-15,6.594844002179039e-12,1.957819152781839e-11,-2.86E-11,-7.70E-11
0.074,0.5141570552417475,0.31977251664287915,0.2537374265260574,-2.26E-14,-0.73575,-4.89E-14,-1.18E-11,-9.81,-8.91E-11,0,0,1,1.5117402256309092e-16,1.2734312765137176e-15,1.735649216982497e-15,-1.52E-11,-1.28E-11,1.6264733580083164e-11,-4.45E-12
0.075,0.5141570552417475,0.3190269566428791,0.2537374265260574,9.008211390055024e-15,-0.74556,-1.49E-14,3.1629966737225184e-11,-9.81,3.405085951200036e-11,0,0,1,-3.13E-17,1.2030480684428983e-15,1.6792726075834766e-15,-3.65E-11,-6.19E-11,-8.16E-12,6.263345537314855e-11
0.076,0.5141570552417475,0.31827158664287913,0.2537374265260574,-4.35E-14,-0.75537,-5.85E-15,-5.25E-11,-9.81,9.024316904745242e-12,0,0,1,1.4512229457615074e-16,1.1926685109245461e-15,1.668775637839408e-15,4.8440649424590486e-11,9.339390054595712e-12,3.4897247348807386e-11,-4.04E-11
0.077,0.5141570552417475,0.31750640664287916,0.2537374265260574,5.549766311249344e-14,-0.76518,-1.78E-14,9.895236833657236e-11,-9.81,-1.20E-11,0,0,1,1.3098608312245195e-16,1.125708180049614e-15,1.6769062332994202e-15,-3.36E-11,-7.64E-12,-4.95E-11,8.650796189186607e-14
0.078,0.5141570552417475,0.3167314166428791,0.25373742652605746,-4.22E-14,-0.77499,3.5522476228011225e-14,-9.77E-11,-9.81,5.335941263890497e-11,0,0,1,2.083771510654398e-16,1.0664814108488884e-15,1.6949519649689578e-15,-1.56E-11,6.202991828614705e-11,1.5721042636351398e-11,2.358120718262798e-11
0.079,0.5141570552417475,0.3159466166428791,0.2537374265260574,-4.93E-14,-0.7848,-3.34E-14,-7.05E-12,-9.81,-6.89E-11,0,0,1,1.9587902976538667e-16,1.1578726057783806e-15,1.717974510945786e-15,4.0354230338664836e-11,-1.01E-11,7.318867961589614e-12,-4.08E-11
0.08,0.5141570552417475,0.3151520066428792,0.25373742652605746,1.2676164070645352e-14,-0.79461,3.819418552437225e-14,6.195902120649709e-11,-9.81,7.159426478313681e-11,0,0,1,1.8318845158515657e-18,1.124661329295721e-15,1.6723015350761855e-15,2.265242740278788e-11,-2.60E-11,2.669177250139616e-12,1.0995226273787145e-11
0.081,0.5141570552417475,0.31434758664287915,0.2537374265260574,2.805947561969502e-14,-0.80442,-7.06E-14,1.5383311549049666e-11,-9.81,-1.09E-10,0,0,1,1.1050844053526947e-16,1.1987703516207126e-15,1.6433981665801959e-15,-6.30E-11,-2.11E-11,8.317164717151286e-12,4.724756961142843e-14
0.082,0.5141570552417474,0.3135333566428792,0.2537374265260574,-6.36E-14,-0.81423,1.4531618529792258e-14,-9.16E-11,-9.81,8.514531434436858e-11,0,0,1,1.121653592210271e-16,1.134396870771032e-15,1.7010684576359974e-15,1.196591189295009e-10,7.965020877022724e-11,-2.12E-11,1.3695328249469113e-11
